Onset_Time;Offset_Time;Single gaze;Avert;Refer;Follow;Share;Mutual;Supporting behavior;Transcript
00:11:17.04;00:11:20.28;Single gaze - C;;;;;;;
00:23:23.52;00:23:41.88;;;;;Share - CT;;;
00:23:41.84;00:23:42.16;;Avert - CT;;;;;;
00:23:42.20;00:23:46.64;Single gaze - C;;;;;;;
00:23:46.68;00:23:47.96;;;;;Share - CT;;;
00:23:47.96;00:23:48.00;;Avert - CT;;;;;;
00:23:48.04;00:23:50.28;Single gaze - C;;;;;;;
00:23:50.32;00:23:56.20;;;;;Share - CT;;;
00:23:56.20;00:23:56.48;;Avert - CT;;;;;;
00:23:56.48;00:23:58.84;Single gaze - C;;;;;;;
00:23:58.88;00:24:09.24;;;;;Share - CT;;;
00:24:09.24;00:24:09.56;;Avert - CT;;;;;;
00:24:09.60;00:24:10.60;Single gaze - C;;;;;;;
00:24:10.64;00:24:17.96;;;;;Share - CT;;;
00:24:17.96;00:24:18.04;;Avert - CT;;;;;;
00:24:18.08;00:24:18.36;Single gaze - C;;;;;;;
00:24:18.40;00:24:35.04;;;;;Share - CT;;;
00:24:35.00;00:24:35.20;;Avert - CT;;;;;;
00:24:35.24;00:24:36.44;Single gaze - C;;;;;;;
00:24:36.48;00:24:49.12;;;;;Share - CT;;;
00:24:49.08;00:24:52.32;;Avert - CT;;;;;;
00:24:52.36;00:24:59.04;;;;;Share - CT;;;
00:25:16.96;00:25:37.64;;;;;Share - CT;;;
00:25:37.60;00:25:37.68;;Avert - CT;;;;;;
00:25:37.72;00:25:40.76;Single gaze - C;;;;;;;
00:25:40.80;00:25:43.12;;;;;Share - CT;;;
00:25:43.08;00:25:43.16;;Avert - CT;;;;;;
00:25:43.20;00:25:46.92;Single gaze - C;;;;;;;
00:25:46.96;00:26:00.88;;;;;Share - CT;;;
00:25:54.60;00:25:58.20;;;;;;;Supporting behavior- T;
00:26:00.84;00:26:00.92;;Avert - CT;;;;;;
00:26:00.96;00:26:03.76;Single gaze - C;;;;;;;
00:26:03.80;00:26:04.80;;;;;Share - CT;;;
00:26:04.76;00:26:04.80;;Avert - CT;;;;;;
00:26:04.84;00:26:09.76;Single gaze - C;;;;;;;
00:26:09.80;00:26:16.20;;;;;Share - CT;;;
00:26:10.20;00:26:13.80;;;;;;;Supporting behavior- T;
00:26:15.00;00:26:16.76;;;;;;;Supporting behavior- T;
00:26:16.16;00:26:16.20;;Avert - CT;;;;;;
00:26:16.24;00:26:21.88;Single gaze - C;;;;;;;
00:26:10.20;00:26:11.12;;;;;;;Supporting behavior- - P;
00:26:21.92;00:26:22.24;;;;;Share - CT;;;
00:26:22.20;00:26:22.28;;Avert - CT;;;;;;
00:26:22.32;00:26:39.00;Single gaze - C;;;;;;;
00:26:44.24;00:26:45.12;Single gaze - C;;;;;;;
00:26:45.16;00:26:57.40;;;;;Share - CT;;;
00:26:30.72;00:26:33.48;;;;;;;Supporting behavior- T;
00:26:39.04;00:26:44.20;;;;;Share - CT;;;
